station_id,latitude,longitude,name,zone,stepfree,stepfree_interchange,line,line_name
605,51.5009,-0.1925,High Street Kensington,1.0,0,1,3,Circle Line
605,51.5009,-0.1925,High Street Kensington,1.0,0,1,4,District Line
603,51.546,-0.104,Highbury & Islington,2.0,0,0,11,Victoria Line
604,51.5777,-0.1458,Highgate,3.0,0,0,9,Northern Line
606,51.5538,-0.4499,Hillingdon,6.0,1,1,8,Metropolitan Line
606,51.5538,-0.4499,Hillingdon,6.0,1,1,10,Piccadilly Line
607,51.5174,-0.12,Holborn,1.0,0,0,2,Central Line
607,51.5174,-0.12,Holborn,1.0,0,0,10,Piccadilly Line
608,51.5075,-0.206,Holland Park,2.0,0,0,2,Central Line
609,51.5526,-0.1132,Holloway Road,2.0,0,0,10,Piccadilly Line
610,51.5539,0.2184,Hornchurch,6.0,0,0,4,District Line
611,51.4713,-0.3665,Hounslow Central,4.0,0,0,10,Piccadilly Line
612,51.4733,-0.3564,Hounslow East,4.0,1,1,10,Piccadilly Line
613,51.4734,-0.3855,Hounslow West,5.0,1,1,10,Piccadilly Line
614,51.5027,-0.1527,Hyde Park Corner,1.0,0,0,10,Piccadilly Line
615,51.5619,-0.4421,Ickenham,6.0,0,0,8,Metropolitan Line
615,51.5619,-0.4421,Ickenham,6.0,0,0,10,Piccadilly Line
616,51.4884,-0.1053,Kennington,2.0,0,1,9,Northern Line
617,51.5304,-0.225,Kensal Green,2.0,0,0,1,Bakerloo Line
618,51.4983,-0.2106,Kensington (Olympia),2.0,1,1,4,District Line
619,51.5507,-0.1402,Kentish Town,2.0,0,0,9,Northern Line
620,51.5816,-0.3162,Kenton,4.0,0,0,1,Bakerloo Line
621,51.477,-0.285,Kew Gardens,3.5,1,1,4,District Line
622,51.5471,-0.2047,Kilburn,2.0,1,1,7,Jubilee Line
623,51.5351,-0.1939,Kilburn Park,2.0,0,0,1,Bakerloo Line
625,51.5308,-0.1238,King's Cross St. Pancras,1.0,1,1,3,Circle Line
625,51.5308,-0.1238,King's Cross St. Pancras,1.0,1,1,6,Hammersmith & City Line
625,51.5308,-0.1238,King's Cross St. Pancras,1.0,1,1,8,Metropolitan Line
625,51.5308,-0.1238,King's Cross St. Pancras,1.0,1,1,9,Northern Line
625,51.5308,-0.1238,King's Cross St. Pancras,1.0,1,1,10,Piccadilly Line
625,51.5308,-0.1238,King's Cross St. Pancras,1.0,1,1,11,Victoria Line
624,51.5846,-0.2786,Kingsbury,4.0,1,1,7,Jubilee Line
626,51.5015,-0.1607,Knightsbridge,1.0,0,0,10,Piccadilly Line
627,51.5172,-0.2107,Ladbroke Grove,2.0,0,0,3,Circle Line
627,51.5172,-0.2107,Ladbroke Grove,2.0,0,0,6,Hammersmith & City Line
628,51.4991,-0.1115,Lambeth North,1.0,0,0,1,Bakerloo Line
629,51.5119,-0.1756,Lancaster Gate,1.0,0,0,2,Central Line
630,51.5139,-0.2172,Latimer Road,2.0,0,0,3,Circle Line
630,51.5139,-0.2172,Latimer Road,2.0,0,0,6,Hammersmith & City Line
631,51.5113,-0.1281,Leicester Square,1.0,0,0,9,Northern Line
631,51.5113,-0.1281,Leicester Square,1.0,0,0,10,Piccadilly Line
632,51.5566,-0.0053,Leyton,3.0,0,0,2,Central Line
633,51.5683,0.0083,Leytonstone,3.5,0,0,2,Central Line
634,51.5178,-0.0823,Liverpool Street,1.0,0,0,2,Central Line
634,51.5178,-0.0823,Liverpool Street,1.0,0,0,3,Circle Line
634,51.5178,-0.0823,Liverpool Street,1.0,0,0,6,Hammersmith & City Line
634,51.5178,-0.0823,Liverpool Street,1.0,0,0,8,Metropolitan Line
635,51.5052,-0.0864,London Bridge,1.0,1,1,7,Jubilee Line
635,51.5052,-0.0864,London Bridge,1.0,1,1,9,Northern Line
636,51.6412,0.0558,Loughton,6.0,0,0,2,Central Line
637,51.53,-0.1854,Maida Vale,2.0,0,0,1,Bakerloo Line
638,51.5712,-0.0958,Manor House,2.5,0,0,10,Piccadilly Line
639,51.5122,-0.094,Mansion House,1.0,0,0,3,Circle Line
639,51.5122,-0.094,Mansion House,1.0,0,0,4,District Line
640,51.5136,-0.1586,Marble Arch,1.0,0,0,2,Central Line
641,51.5225,-0.1631,Marylebone,1.0,0,0,1,Bakerloo Line
642,51.5249,-0.0332,Mile End,2.0,0,1,2,Central Line
642,51.5249,-0.0332,Mile End,2.0,0,1,4,District Line
642,51.5249,-0.0332,Mile End,2.0,0,1,6,Hammersmith & City Line
643,51.6082,-0.2103,Mill Hill East,4.0,1,1,9,Northern Line
646,51.6294,-0.432,Moor Park,6.5,0,0,8,Metropolitan Line
645,51.5186,-0.0886,Moorgate,1.0,0,0,3,Circle Line
645,51.5186,-0.0886,Moorgate,1.0,0,0,6,Hammersmith & City Line
645,51.5186,-0.0886,Moorgate,1.0,0,0,8,Metropolitan Line
645,51.5186,-0.0886,Moorgate,1.0,0,0,9,Northern Line
647,51.4022,-0.1948,Morden,4.0,1,1,9,Northern Line
648,51.5342,-0.1387,Mornington Crescent,2.0,0,0,9,Northern Line
649,51.5542,-0.2503,Neasden,3.0,0,0,7,Jubilee Line
650,51.5756,0.0899,Newbury Park,4.0,1,1,2,Central Line
653,51.5237,-0.2597,North Acton,2.5,0,0,2,Central Line
654,51.5175,-0.2887,North Ealing,3.0,0,0,10,Piccadilly Line
789,51.5005,0.0039,North Greenwich,2.5,1,1,7,Jubilee Line
656,51.5846,-0.3626,North Harrow,5.0,0,0,8,Metropolitan Line
659,51.5621,-0.3034,North Wembley,4.0,0,0,1,Bakerloo Line
655,51.4995,-0.3142,Northfields,3.0,0,0,10,Piccadilly Line
657,51.5483,-0.3687,Northolt,5.0,0,0,2,Central Line
660,51.5784,-0.3184,Northwick Park,4.0,0,1,8,Metropolitan Line
661,51.6111,-0.424,Northwood,6.0,0,0,8,Metropolitan Line
662,51.6004,-0.4092,Northwood Hills,6.0,0,0,8,Metropolitan Line
663,51.5094,-0.1967,Notting Hill Gate,1.5,0,0,2,Central Line
